Ticker,Category,Info,Address,Link
AAV,Tài chính,"Đối với lĩnh vực kinh doanh bất động sản. Công ty là một trong những nhà phát triển bất động sản hàng đầu tư khu vực tỉnh Hải Dương. Lĩnh vực hoạt động chủ yếu mà công ty nhắm đến là đầu tư và phát triển bất động sản, tập trung vào các khu phức hợp nhà ở - Căn hộ - Văn phòng cho thuê và trung tâm thương mại, khách sạn, khu du lịch sinh thía, bất động sản nghĩa trang.","Tòa nhà Việt Tiên Sơn, khu dân cư phía Đông đường Yết Kiêu, phường Cộng Hòa, thị xã Chí Linh, tỉnh Hải Dương",www.viettienson.com
AMV,Y tế,"Hiện nay, với vị trí là Công ty đầu tiên và duy nhất trong nước sản xuất các loại sinh phẩm chẩn đoán nhanh, Công ty còn có những lợi thế riêng như: lợi thế về ưu đãi đầu tư, lợi thế về việc sản xuất và tiêu thụ sản phẩm tại thị trường Việt Nam với chi phí vận chuyển thấp, sản phẩm không phải chịu thuế nhập khẩu,... làm tăng khả năng cạnh tranh so với các sản phẩm ngoại nhập. Điều này cho thấy tiềm năng phát triển của Công ty còn rất lớn.","Khu 4, Tòa nhà Phú Mã Dương, số 85 Hoàng Văn Thái, Tân Phú, Quận 7, Tp.HCM",www.amvibiotech.com
API,Tài chính,"Thời gian hoạt động mới chỉ được 3 năm là không dài so với thời gian một công ty đầu tư phát triển có kinh nghiệm cần để thực hiện việc xác định, xin dự án trực tiếp từ chính quyền các tỉnh, hoàn tất cả thủ tục chuẩn bị đầu tư. Trong thời gian này API đã xuất sắc giành quyền phát triển tổng cộng 8 dự án trong danh mục đầu tư của mình. Một điều dễ hiểu là thời gian chưa đủ để bước vào thi công xây lắp tạo ra sản phẩm cuối cùng tới tay người tiêu dùng nên thương hiệu API chỉ được coi là một tên tuổi đang dần được khẳng định. API có lợi thế khi tiếp cận với thị trường vốn thông qua Công ty cổ phần Chứng khoán Châu Á – Thái Bình Dương (APS), một trong 10 công ty chứng khoán có thị phần lớn nhất Việt Nam","Tầng 3, Tòa nhà Grand Plaza số 117 Trần Duy Hưng, Trung Hòa, Cầu Giấy, HN",www.apeci.com.vn
APS,Tài chính,"Đến cuối tháng 12 năm 2009, APEC đã quản lý hơn 20.000 tài khoản của nhà đầu tư. Thị phần môi giới của công ty luôn nằm trong nhóm 20 công ty chứng khoán có giá trị giao dịch lớn nhất trên tổng số 105 công ty chứng khoán đã được cấp phép. Cho đến nay, công ty luôn giữ vững trên 1,45% toàn thị trường và so với các công ty chứng khoán ra đời sau 1/1/2006 thì công ty chứng khoán APEC luôn nằm trong nhóm 10 công ty có thị phần môi giới lớn nhất và có doanh thu môi giới lớn nhất. Với 1 Hội sở chính, 1 Chi nhánh, 1 Phòng giao dịch và hơn 30 Đại lý nhận lệnh trên khắp cả nước, APEC Securities đang là một trong những Công ty chứng khoán có mạng lưới giao dịch lớn nhất. Bên cạnh việc phát triển mạng lưới, APEC Securities cũng là một trong những công ty chứng khoán đi đầu trong lĩnh vực công nghệ,","Tầng 3, Tòa nhà Grand Plaza, số 117 Trần Duy Hưng, Trung Hòa, Cầu Giấy, HN",www.apec.com.vn
ART,Tài chính,"ART là Công ty chứng khoán nhỏ, xét về vốn điều lệ, đội ngũ nhân viên, doanh thu, thị phần và lượng tài khoản khách hàng. Năm 2014-2015-2016, Thị phần của Công ty ở mức dưới 1%, tức là chỉ nằm cuối tốp 30 Công ty chứng khoán có doanh số môi giới lớn nhất. Về số lượng tài khoản, chỉ chiếm 0.3% trong số 1.7 triệu tài khoản chứng khoán trên thị trường. 6 tháng đầu năm 2017, theo thông báo của Sở giao dịch chứng khoán Tp.HCM, ART vươn lên tốp 10 về thị phần môi giới tại HOSE, với tỷ lệ 4.94%. Tuy nhiên để giữ được vị trí này, Công ty cần phải có nhiều nỗ lực và cố gắn hơn trong thời gian tới.","tầng 25, Tòa nhà Văn phòng, 256 Cầu Giấy, Dịch Vọng Hậu, Cầu Giấy, HN",https://bos.vn/
BAB,Tài chính,"Với VĐL 5.000 tỷ đồng, Tổng tài sản đạt khoảng 90.000 tỷ đồng, BAC A BANK là một trong những ngân hàng có quy mô vừa trong hệ thống ngân hàng thương mại của Việt Nam. Với lợi thế về năng lực tài chính cho phép, BAC A BANK đã đáp ứng được các quy định về an toàn vốn, tăng khả năng đáp ứng nhu cầu vốn và các dịch vụ ngân hàng cho khách hàng, đồng thời tạo điều kiện thuận lợi cho BAC A BANK trong việc đầu tư, phát triển hệ thống công nghệ, nguồn nhân lực và mạng điều hành và hệ thống các quy định nội bộ nhằm nâng cao hơn nữa năng lực quản lý điều hành, bảo vệ quyền lợi cho các cổ đông.","Số 117, đường Quang Trung, phường Quang Trung, thành phố Vinh, tỉnh Nghệ An",https://www.baca-bank.vn/
BCC,Công nghiệp,"Công ty là một trong những doanh nghiệp hàng đầu của ngành xi măng, với bề dầy hoạt động 25 năm trong lĩnh vực sản xuất kinh doanh xi măng, sản phẩm đã có uy tín lâu năm trên thị trường. Thương hiệu Xi măng Bỉm Sơn đã được đông đo người tiêu dùng chấp nhận và tin cậy. Thị trường Xi măng trong nước trong thời gian tới còn rất tiềm năng. Như vậy, với tiềm năng còn rất lớn của thị trường xi măng trong nước, cùng với chiến lược phát triển mở rộng, nâng cao công suất nhà máy lên 3,8 triệu tấn/năm, Công ty Xi măng Bỉm Sơn tự tin sẽ còn phát triển. Vị trí của Nhà máy nằm gần vùng núi đá vôi, đất sét có trữ lượng dồi dào và chất lượng tốt, đây là 2 nguồn nguyên liệu chủ yếu để sản xuất xi măng chất lượng cao.","Khu phố 7, Phường Ba Đình, thị xã Bỉm Sơn, tỉnh Thanh Hóa",ximangbimson.com.vn
BII,Tài chính,"Công ty cổ phần Louis Land (Trước đây là CTCP Đầu tư và Phát triển Công nghiệp Bảo Thư) được thành lập ngày 29/05/2008. Năm 2014, chính thức niêm yết cổ phiếu trên Sở GDCK Hà Nội với mã chứng khoán là BII. Năm 2021, công ty đánh dấu bước đột phát trong chiến lược phát triển khi lựa chọn BĐS làm ngành nghề kinh doanh cốt lõi với 3 mảng chính là BĐS Công nghiệp, BĐS Dân dụng và BĐS Đô thị. BII chú trọng nâng cao hàm lượng công nghệ số trong các sản phẩm BĐS qua việc liên kết với các công ty có công nghệ lõi giúp gia tăng giá trị BĐS (BĐS thông minh - smart living, thanh toán thông minh - smart payment, năng lượng xanh…).","Khu phố 11, phường Bình Tân, thị xã La Gi, tỉnh Bình Thuận",louisland.vn
BNA,Hàng tiêu dùng,"CTCP Đầu tư sản xuất Bảo Ngọc là một trong những doanh nghiệp có bề dày lịch sử trong ngành sản xuất bánh kẹo. Với hơn 30 năm xây dựng và phát triển, Bảo Ngọc luôn kế thừa và phát triển để giữ được nét đặc trưng cho riêng mình và không ngừng sáng tạo - ứng dụng công nghệ tiên tiến tạo nên những sản phẩm đa dạng, chất lượng nhất cung cấp cho khách hàng.","Tòa nhà Bảo Ngọc, lô A2 CN8 cụm Công nghiệp Từ Liêm, phường Phương Canh, quận Nam Từ Liêm, Hà Nội",banhbaongoc.vn
BTS,Công nghiệp,"Với dây chuyền công nghệ đồng bộ, hiện đại, công suất 4000 tấn clinker/ ngày đêm, sản phẩm sản xuất ra có chất lượng tốt và có tính năng vượt trội so với các sản phẩm cùng loại. Công ty Xi măng Bút Sơn là một doanh nghiệp lớn trong ngành sản xuất xi măng của Việt Nam. Về sản lượng, công ty hiện chiếm 7,2% tổng mức sản lượng của cả nước, chiếm 16,5%tổng sản lượng của Tổng công ty Xi măng Việt Nam. Trên thị trường các tỉnh phiá Bắc thị trường tiêu thụ sản phẩm chính của công ty, Công ty Xi măng Bút Sơn chiếm thị phần ở mức 14% toàn thị trường.","Xã Thanh Sơn, huyện Kim Bảng, tỉnh Hà Nam",vicembutson.com.vn
