Ticker,Category,Info,Address,Link
ACB,Tài chính,"Với tầm nhìn xác định là trở thành ngân hàng TMCP bán lẻ hàng đầu Việt Nam, hiện nay ACB là ngân hàng bán lẻ hàng đầu tại Việt Nam với hơn 200 sản phẩm và dịch vụ được đánh giá là một trong những ngân hàng cung cấp dịch vụ phong phú dựa trên nền tảng công nghệ hiện đại. Về mặt quản lý rủi ro, ACB luôn duy trì tỷ lệ an toàn vốn trên 8%, tỷ lệ nợ quá hạn trong những năm qua luôn dưới 1% cho thấy tính chất an toàn và hiệu quả của ngân hàng. Kế hoạch đưa ra trong những năm sắp tới rất cao, tỷ lệ ROE luôn đạt trên 30%, tốc độ tăng trưởng lợi nhuận trước thuế trên 25%, hướng tới trở thành ngân hàng có quy mô trung bình trong khu vực với tổng tài sản đạt 12 tỷ USD. Tính tới ngày 23/3/2010, tổng số chi nhánh và phòng giao dịch của ACB lên tới con số 248.","442 Nguyễn Thị Minh Khai, Q. 3, TP. Hồ Chí Minh",www.acb.com.vn
APH,Vật liệu cơ bản,"Trong lĩnh vực sản xuất sản phẩm nhựa tại Việt Nam, An Phát là doanh nghiệp có quy mô lớn nhất. Sơ đồ tại hình 15 so sánh doanh thu thuần, lợi nhuận sau thuế và tổng tài sản của APH vào năm 2019 với các doanh nghiệp tiêu biểu cùng ngành như: Công ty Cổ phần Nhựa Thiếu niên Tiền Phong (NTP), Công ty Cổ phần Nhựa Bình Minh (BMP), Công ty Cổ phần Rạng Đông Holdings (RDP). Theo như sơ đồ cho thấy, APH dẫn đầu trong ngành về cả quy mô, doanh thu và lợi nhuận.","Lô CN11+CN12, cụm Công Nghiệp An Đồng, thị trấn Nam Sách, huyện Nam Sách, tỉnh Hải Dương",www.anphatholdings.com
ASM,Tài chính,"Sau 12 năm thành lập, đến nay Sao Mai An Giang đã trở thành một trong những công ty kinh doanh bất động sản hàng đầu tại khu vực đồng bằng sông Cửu Long.So với nhiều doanh nghiệp hoạt động trong ngành, Sao Mai An Giang có lợi thế về quỹ đất có giá trị tương đương 1000 tỷ đồng đã thực hiện xong thủ tục giải tỏa đền bù từ nhiều năm trước, nhiều quĩ đất khác đang trong giai đoạn hoàn tất cấp quyền sử dụng.Bên cạnh mảng hoạt động kinh doanh chính, trong thời gian qua, Sao Mai An Giang cũng đã chủ động đa dạng hóa ngành nghề hoạt động nhằm giảm thiểu rủi ro trong kinh doanh.Cụ thể, Công ty đã góp vốn thành lập Công ty CP Đầu tư & Phát triển Đa Quốc Gia IDI để phát triển khu liên hợp sản xuất thủy sản tại khu công nghiệp Lấp Vò với diện tích 23 ha đất được nhà nước giao.","Số 326 Hùng Vương, phường Mỹ Long, thành phố Long Xuyên, tỉnh An Giang",www.saomainews.com.vn
BCM,Tài chính,"Trong lĩnh vực đầu tư kinh doanh hạ tầng khu công nghiệp và xây dựng khu đô thị, khu dân cư, xây dựng và kinh doanh hạ tầng giao thông, hiện nay vị thế của Tổng Công ty đã được cả nước biết đến. Đặc biệt đối với lĩnh vực đầu tư kinh doanh hạ tầng khu công nghiệp, Bình Dương nói chung, và các khu công nghiệp VSIP và Mỹ Phước, Bàu Bàng, Becamex nói riêng luôn thu hút các nhà đầu tư nước ngoài khi đến Việt Nam.","08, đường Hùng Vương, phường Phú Hòa, thành phố Thủ Dầu Một, tỉnh Bình Dương",www.becamex.com.vn
BHN,Hàng tiêu dùng,"Cùng với Sabeco, Tổng Công ty là một trong những doanh nghiệp hàng đầu Việt Nam trong ngành sản xuất đồ uống có cồn. Với bí quyết công nghệ duy nhất - truyền thống trăm năm, cùng với hệ thống thiết bị hiện đại, đội ngũ CBCNV lành nghề, có trình độ, tâm huyết, các sản phẩm của Tổng công ty đã nhận được sự mến mộ của hàng triệu tiêu dùng trong nước cũng như quốc tế. Thương hiệu Bia Hà Nội ngày hôm nay được xây dựng, kết tinh từ nhiều thế hệ, là niềm tin của người tiêu dùng, niềm tự hào thương hiệu Việt. Tổng độ tăng trưởng bình quân trong những năm gần đây đều và ổn định. Doanh thu bình quân tăng mỗi năm từ 2 đến 10%. Nộp ngân sách cho nhà nước bình quân tăng từ 2 đến 10%.","Số 183 Hoàng Hoa Thám, phường Ngọc Hà, quận Ba Đình, Hà Nội",www.habeco.com.vn
BID,Tài chính,"Lịch sử phát triển lâu dài cùng với thương hiệu uy tín trên thị trường ngân hàng Việt Nam Với trên 55 năm hoạt động trong ngành ngân hàng, BIDV là một trong số ít ngân hàng có lịch sử phát triển lâu dài và có vị thế vững chắc tại Việt Nam. Cùng với mạng lưới chi nhánh rộng khắp, BIDV đã trở thành một thương hiệu uy tín tại Việt Nam. BIDV được biết đến như một ngân hàng có thế mạnh hàng đầu trong tài trợ cho các dự án đầu tư xây dựng cơ bản, phát triển hạ tầng của Nhà nước, của các tập đoàn và tổng công ty lớn; góp phần to lớn vào sự nghiệp công nghiệp hóa, hiện đại hóa đất nước thông qua việc cho vay vốn hàng nghìn dự án, công trình, nhà máy thuộc mọi lĩnh vực ngành nghề trên khắp mọi miền đất nước.","Tháp BIDV, 194 Trần Quang Khải, Lý Thái Tổ, Hoàn Kiếm,HN",www.bidv.com.vn
BMP,Công nghiệp,"Công ty được thành lập năm 1977 với tên gọi Nhà máy Công tư Hợp Danh Nhựa Bình Minh. Năm 2004, Công ty tiến hành cổ phần hóa. Ngành nghề kinh doanh chủ yếu là nhựa công nghiệp và vật liệu xây dựng bao gồm hệ thống nhà xưởng 1 sản xuất sản phẩm ép phun và xưởng 2 tại Khu công nghiệp Sóng Thần chuyên sản xuất các ống nhựa.Hệ thống phân phối của Công ty bao gồm các kênh: cửa hàng bán sản phẩm; khách hàng riêng lẻ và đấu thầu các công trình trong đó kênh tiêu thụ chính là hệ thống các cửa hàng. Hiện Công ty có hệ thống bao phủ gần như toàn bộ khu vực miền Trung trở vào và đang mở rộng ra miền Bắc với việc xây dựng nhà máy mới tại Khu công nghiệp Phố Nối - Hưng Yên.","240 Hậu Giang, phường 9, quận 6, Tp.Hồ Chí Minh",www.binhminhplastic.com.vn
BVH,Tài chính,"Thành lập ngày 15/1/1965, đến nay Bảo Việt đã trở thành Tập đoàn Tài chính - Bảo hiểm hàng đầu Việt Nam. Không chỉ có mạng lưới rộng khắp trên toàn quốc, Bảo Việt còn được biết đến là thương hiệu mạnh, uy tín số 1 trong lĩnh vực bảo hiểm. Với khả năng tài chính mạnh, sự thông hiểu thị trường trong nước, Bảo Việt là doanh nghiệp duy nhất tại Việt Nam kinh doanh cả 2 loại hình bảo hiểm nhân thọ và phi nhân thọ. Bảo Việt đã được công nhận là một trong số 25 doanh nghiệp lớn nhất của Việt Nam; là doanh nghiệp bảo hiểm lâu đời, được tin cậy đối với đông đảo các tầng lớp dân cư, cá nhân, tổ chức, doanh nghiệp.","Số 72, phố Trần Hưng Đạo, Quận Hoàn Kiếm, Hà Nội",www.baoviet.com.vn
BWE,Các dịch vụ hạ tầng,"Công ty đang quản lý mạng lưới cấp nước trên địa bàn tỉnh Bình Dương và không có sự cạnh tranh của các doanh nghiệp cùng ngành nghề. Theo số liệu từ Hiệp hội cấp thoát nước Việt Nam, Công ty đứng thứ 3 toàn quốc về công suất cấp nước với 383.000m3/ngày đêm. Với tỷ lệ thất thoát khoảng 7%- giảm mạnh so với mức trước đây là 37.2% vào năm 2002, đứng thứ 3 tại khu vực về hiệu quả công suất, sau Singapore và tốt hơn Nhật bản. Do đó, giá dịch vụ cấp nước của công ty luôn ở mức cạnh tranh trong khu vực kinh tế trọng điểm phía Nam.","Số 11, đường Ngô Văn Trị, phường Phú Lợi, thành phố Thủ Dầu Một, tỉnh Bình Dương",www.biwase.com.vn
CII,Công nghiệp,"CII ra đời năm 2002 với tư cách là một tổ chức đầu tư tài chính nhằm mục đích xã hội hóa lĩnh vực đầu tư phát triển cơ sở hạ tầng đô thị của TP.HCM. Ban đầu CII thực hiện thu phí giao thông tại Xa lộ Hà Nội và tuyến đường Kinh Dương Vương, đầu tư vào dự án BOO Nước Thủ Đức, cầu Phú Mỹ,... Ngoài lĩnh vực thu phí giao thông, đầu tư hạ tầng kỹ thuật và bất động sản, CII còn tham gia hoạt động đầu tư tài chính vào các doanh nghiệp và các dự án khác: Ngân hàng TMCP Phát triển nhà TP.HCM, CTCP chứng khoán TP.HCM, đầu tư dự án chung cư 6.5ha tại phường Bình An, Q.2.","Tầng 12, 152 Điện Biên Phủ, Bình Thạnh, Tp.HCM",www.cii.com.vn
