Ticker,Category,Info,Address,Link
AAS,Tài chính,"SmartInvest được biết đến như một Công ty có hệ thống core giao dịch  hiện đại, thường xuyên được nâng cấp và được nhà đầu tư tín nghiệm nhờ chất lượng dịch vụ an toàn, ổn định cùng với sự hỗ trợ của các dịch vụ tư vấn đầu tư, phân tích và thông tin nhanh nhạy trên thị trường chứng khoán. Bên cạnh đó, trụ sở Công ty ở vị trí trung tâm Hà Nội, khu vực tập trung sự phát triển năng động, SmartInvest có những lợi thế nhất định trong việc thu hút khách tiềm năng.","Tầng 2,3,4  số 31-33-35-37 ngõ 180 Nguyễn Lương Bằng, Quang Trung, Đống Đa, HN",https://www.sisi.com.vn/
ABB,Tài chính,"Năm 2018, ABBank tự hào nhận giải thưởng Ngân hàng phát triển Bán lẻ tốt nhất VN 2018 Năm thứ 3 liên tiếp và giải thưởng Ngân hàng Dịch vụ khách hàng tốt nhất VN 2018 do tạp chí Global Bnaking and Finance Review trao tặng. Trong năm 2019, Ngân hàng tiếp tục được Moody's duy trì đánh giá chung ở mức B1. Ngày 28/05/2019, ABBank là 1 trong 7 Ngân hàng đầu tiên chuyển đổi thành công thẻ từ nội địa sang thẻ chip nội địa theo tiêu chuân VCCS của Ngân hàng nhà nước VN","Tầng 1,2,3 Tòa nhà Geleximco, số 36 Hoàng Cầu, phường Ô Chợ dừa, quận Đống Đa, Hà Nội",www.abbank.vn
AFX,Hàng tiêu dùng,"Công ty có lợi thế cạnh tranh là nằm trên địa bàn vùng trọng điểm lúa gạo, kinh nghiệm thương trường nhiều năm (xuất gạo từ năm 1990), cơ sở hạ tầng chế biến, bảo quản đồng bộ hoàn chỉnh và liên tục được công nhận là doanh nghiệp xuất khẩu uy tín từ năm 2004 đến nay. Đối thủ cạnh tranh là Công ty các thành viên của Tổng Công ty Lương thực Miền Nam, Tổng Công ty Lương thực Miền Bắc, Công ty TNHH Đầu tư Sản xuất Thương mại Dịch vụ Phan Minh, Công ty TNHH SX TM Phương Quân, Công ty TNHH MTV DL TM Kiên Giang, Công ty CP Tập Đoàn Intimex, Công ty CP XNK An Giang (Angimex – AGM), …","Số 2045, đường Trần Hưng Đạo, khóm Thạnh An, Phường Mỹ Thới, Thành phố Long Xuyên, Tỉnh Anh Giang",www.afiex.com.vn
AMS,Công nghiệp,"Sau 8 năm thành lập, Cong ty đã và đang đạt được những kết quả và thành công đáng kể. Doanh thu và Tổng tài sản tăng trưởng cao. Doanh thu năm 2015 là 742 tỷ đồng. Thuộc nhóm Top đầu trong ngành cơ khí. Công ty trở thành địa chỉ tin cậy của nhiều Công ty. Nhà thầu trong và ngoài nước như JEL, Marubeni...Bộ máy quản lý tinh gọn, nhiều kinh nghiệm làm việc, năng động, đội ngũ kỹ sư, kỹ thuật giỏi, chuyên nghiệp, đội ngũ công nhân đầy nhiệt huyết, nhiều thợ hàn và thợ lành nghề đạt chứng chỉ quốc tế, đã từng tham gia nhiều công trình lớn, trọng đại của Việt Nam. Cùng đó là dây chuyền công nghệ mới, được đầu tư thiết hiện đại, liên tục có những cải tiến kỹ thuật phục vụ sản xuất.","K35 quốc lộ 10, xã Quốc Tuấn, huyện An Lão, thành phố Hải Phòng",www.amecc.com.vn
ANT,Hàng tiêu dùng,"Doanh nghiệp dẫn đầu và cũng là doanh nghiệp có trang thiết bị máy móc hiện đại nhất trong lĩnh vực rau quả đông lạnh IQF tại Đồng Bằng Sông Cửu Long và phía Nam. Có kinh nghiệm trên 20 năm trong sản xuất, chế biến và xuất khẩu các loại rau quả đông lạnh IQF và đóng hộp. Có nhà xưởng và thiết bị hiện đại được nhập khẩu trực tiếp 100% từ Mỹ, Đan Mạch, Thụy Điển có tổng công suất 25.000 tấn/năm. Ngoài ra, Công ty còn được nhiều khách hàng trong và ngoài nước đánh giá có uy tín về chất lượng sản phẩm và hệ thống quản lý tốt như ISO, BRC FOODS, IFS, KOSHER, HALAL, SEDEX, GLOBAL GAP.","Số 67-71-73 Nguyễn Huệ, phường Mỹ Long, thành phố Long Xuyên, tỉnh An Giang",www.antesco.com
APF,Hàng tiêu dùng,"CTCP Nông sản Thực phẩm Quảng Ngãi hiện là một trong những doanh nghiệp lớn trong ngành sản xuất kinh doanh nông sản. Các sản phẩm nông sản của Công ty đã khẳng định được thương hiệu đối với thị trường trong nước và khu vực. Công ty cổ phần Nông sản Thực phẩm Quảng Ngãi hoạt động với mục tiêu phát triển ngày càng lớn mạnh, kinh doanh có hiệu quả, tập trung đầu tư nguồn lực về con người và tài chính để mở rộng thị trường, đổi mới công nghệ thiết bị để nâng cao chất lượng sản phẩm Tinh bột sắn và Cồn thực phẩm, phấn đấu trở thành một trong những nhà sản xuất và cung cấp tinh bột sắn hàng đầu khu vực.","48 Phạm Xuân Hòa, phường Trần Hưng Đạo, thành phố Quảng Ngãi, tỉnh Quảng Ngãi, Việt Nam",http://www.apfco.com.vn
BCA,Vật liệu cơ bản,"Công ty có thời gian hoạt động hơn 16 năm trong ngành, với kinh nghiệm và bề dày hoạt động trên khu vực miền Bắc và uy tín của mình, các sản phẩm phôi thép và thép được các khách hàng lựa chọn tin dùng nhiều năm nay. Mặc dù quy mô Công ty trong ngành thép chỉ ở mức trung bình nhưng Công ty đã tạo dựng được mạng lưới đối tác, khách hàng thường xuyên trong khu vực.","Km 77+500, Kim Liên, Kim Thành, Hải Dương",www.bch.com.vn
BMS,Tài chính,"Công ty có Vốn điều  lệ là 500 tỷ đồng được phép thực hiện tất cả các nghiệp vụ của Công ty chứng khoán. Trong tương lai Công ty sẽ hướng tới nhóm 20 Công ty chứng khoán có vốn điều lệ cao nhất, cung cấp đa dạng sản phẩm dịch vụ với chất lượng tốt nhất có thể.","Lầu 3 - Tòa nhà PaxSky - 34A Phạm Ngọc Thạch, P.6, Q.3, Tp Hồ Chí Minh",www.bmsc.com.vn
BOT,Công nghiệp,"Với thế mạnh là một doanh nghiệp được thành lập từ các cổ đông là pháp nhân có kinh nghiệm lâu năm trong lĩnh vực thi công xây dựng và năng lực tài chính mạnh, đội ngũ Ban lãnh đạo có kinh nghiệm trong hoạt động quản lý doanh nghiệp và có kiến thức chuyên sâu liên quan đến xây dựng. Công ty đã tham gia và thắng thầu dự án BOT Cầu Thái Hà. Hiện tại Công ty chỉ thực hiện đầu tư triển khai dự án BOT Cầu Thái Hà thuộc địa bàn tỉnh Hà Nam và Thái Bình.","Thôn Phú Vật, xã Tiến Đức, huyện Hưng Hà, tỉnh Thái Bình",botcauthaiha.com.vn
BSR,Dầu khí,"BSR hiện là nhà máy lọc dầu đang được vận hành duy nhất tại Việt Nam với công suất thiết kế là 6,5 triệu tấn dầu thô mỗi năm và vốn đầu tư được phê duyệt là 3 tỷ USD. Hàng năm, nhà máy cung cấp khoảng 30% nhu cầu xăng dầu của cả nước. Với vị thế là nhà máy lọc dầu duy nhất hoạt động tại Việt Nam, BSR hiện tiêu thụ khoảng trên 40% sản lượng dầu khai thác nội địa. Việc nhà máy đi vào vận hành giúp Việt Nam hoàn thiện chuỗi ngành khai thác – chế biến dầu khí.","208 Đại lộ Hùng Vương, phường Trần Phú, thành phố Quảng Ngãi, tỉnh Quảng Ngãi",www.bsr.com.vn
